,Locations,Population,S_0,E_0,I_0,R_0,Rt,beta,Incoming Passenger
0,Alabama,4903185,0.991641277,0.000592136,0.001163742,0.006601831,1.269367101,0.195287246,131806.00
1,Alaska,731545,0.998331664,0.00012934,0.000251969,0.001287033,1.273250019,0.195884618,20282.00
2,Arizona,7278717,0.987955029,0.001154661,0.00252358,0.008363555,1.086398025,0.167138158,209205.00
3,Arkansas,3017825,0.992727276,0.00038352,0.00114599,0.005739407,0.57118281,0.087874279,66023.00
4,California,39512223,0.993657283,0.000492281,0.000892337,0.004958418,1.443352918,0.222054295,1091882.00
5,Colorado,5758736,0.994175936,0.000136391,0.000275882,0.005414204,1.224450708,0.188377032,123580.00
6,Connecticut,3565287,0.986884462,5.33E-05,0.000170037,0.01289234,0.117976681,0.018150259,96027.00
7,Delaware,973764,0.987897152,0.00034599,0.00054594,0.011209915,1.800536725,0.27700565,23024.00
8,District of Columbia,705749,0.985305401,9.53E-05,0.000304559,0.01429076,0.100390668,0.015444718,20998.00
9,Florida,21477737,0.991448,0.001337771,0.001874627,0.005342239,2.154664246,0.331486807,519567.00
10,Georgia,10617423,0.992140251,0.000595461,0.000993305,0.00626983,1.636269844,0.251733822,283969.00
11,Hawaii,1415872,0.999339204,2.66E-05,5.27E-05,0.00058149,1.33846966,0.205918409,39946.00
12,Idaho,1792065,0.99611342,0.000478686,0.000741528,0.002667076,1.813724381,0.27903452,49699.00
13,Illinois,12671821,0.988478514,0.000128703,0.00034981,0.011039446,0.797474052,0.122688316,338965.00
14,Indiana,6732219,0.992903539,0.000155774,0.000355637,0.006585248,1.033618455,0.159018224,176478.00
15,Iowa,3155070,0.990484594,0.000265687,0.000713635,0.008536802,0.791369269,0.121749118,75076.00
16,Kansas,2913314,0.994617111,0.00033332,0.000547519,0.004501783,1.686353661,0.259439025,68331.00
17,Kentucky,4467673,0.996285556,0.000148783,0.000312637,0.003252327,1.15864579,0.178253198,129927.00
18,Louisiana,4648794,0.986877829,0.000605019,0.001160261,0.011357568,1.333472738,0.205149652,113926.00
19,Maine,1344212,0.997495585,8.29E-05,0.000161951,0.002259339,1.290478626,0.198535173,39362.00
20,Maryland,6045680,0.988590934,0.000139616,0.000400865,0.010862426,0.761327345,0.117127284,164859.00
21,Massachusetts,6949503,0.984197601,7.19E-05,0.000230019,0.015500617,0.1,0.015384615,153548.00
22,Michigan,9986857,0.992896843,5.36E-05,0.000170129,0.00687619,0.100000001,0.015384616,262623.00
23,Minnesota,5639632,0.993381468,0.000188146,0.00044294,0.005989252,0.969523004,0.149157385,128085.00
24,Mississippi,2976149,0.990330044,0.000518564,0.001174538,0.007965644,1.014979342,0.156150668,65478.00
25,Missouri,6137428,0.99613738,0.000234605,0.000426447,0.003201832,1.432121284,0.220326351,146212.00
26,Montana,1068778,0.99899587,0.000106951,0.000162252,0.00073461,1.878135647,0.288943946,25220.00
27,Nebraska,1934408,0.989864885,0.000213167,0.000524198,0.009398234,0.927649139,0.142715252,51218.00
28,Nevada,3080156,0.993039579,0.000877698,0.001244462,0.004837593,2.100052882,0.323085059,77748.00
29,New Hampshire,1359711,0.995728575,3.79E-05,0.00011977,0.004112441,0.624273881,0.096042136,32336.00
30,New Jersey,8882190,0.980262061,0.00017152,0.000351282,0.019218326,1.208298653,0.185892101,228527.00
31,New Mexico,2096829,0.993914814,0.000279112,0.000537188,0.005270513,1.313626108,0.202096324,60708.00
32,New York,19453561,0.979457872,7.42E-05,0.000206564,0.020257298,0.7830042,0.120462185,482893.00
33,North Carolina,10488084,0.993401201,0.000396323,0.000848678,0.005351516,1.127285745,0.173428576,259573.00
34,North Dakota,762062,0.9951524,0.000147803,0.000287993,0.004411245,1.302641429,0.200406374,22228.00
35,Ohio,11689100,0.995357813,0.000201831,0.000411852,0.004028163,1.207165438,0.18571776,339569.00
36,Oklahoma,3956971,0.996275499,0.000257729,0.000568532,0.002897392,1.067998565,0.164307472,81216.00
37,Oregon,4217737,0.997790078,0.000144256,0.000298872,0.001767091,1.178677762,0.18133504,112713.00
38,Pennsylvania,12801989,0.992759256,0.000128567,0.00026555,0.00684638,1.19329279,0.183583506,284340.00
39,Rhode Island,1059361,0.984067954,8.55E-05,0.000272167,0.015570887,0.101551556,0.015623316,25762.00
40,South Carolina,5148714,0.992022942,0.000914412,0.001581126,0.005483695,1.552588976,0.238859842,137896.00
41,South Dakota,884659,0.992186848,0.000153167,0.000416728,0.007238067,0.804786023,0.123813234,18347.00
42,Tennessee,6833174,0.993438087,0.000356137,0.000781316,0.005423341,1.065439376,0.16391375,162602.00
43,Texas,28995881,0.993617742,0.00064539,0.001183016,0.004553978,1.412878545,0.21736593,683277.00
44,Utah,3205958,0.992504814,0.000517665,0.00105691,0.005921473,1.213083077,0.186628166,84216.00
45,Vermont,623989,0.998098247,1.03E-05,3.26E-05,0.001858601,0.1,0.015384615,14447.00
46,Virginia,8535519,0.992496451,0.00015576,0.000408452,0.006939414,0.853178389,0.131258214,186129.00
47,Washington,7614893,0.995573265,0.000109378,0.000296666,0.004011122,0.903062096,0.13893263,176737.00
48,West Virginia,1787147,0.998309284,6.45E-05,0.000145911,0.001480931,1.035862387,0.159363444,42610.00
49,Wisconsin,5822434,0.994284491,0.000268338,0.000516862,0.004931013,1.310158823,0.201562896,143161.00
50,Wyoming,578759,0.997272276,0.000160027,0.000327439,0.002240696,1.177306978,0.181124151,12901.00
